# Mongolian Wordnet (MonWN)	mon	https://github.com/kbatsuren/monwn	CC BY 4.0
06207561-n	mon:def 0	сүсэг бишрэлтэй хандах хандлага
06207733-n	mon:lemma	бишрэлгүй
06207733-n	mon:def 0	сүсэг бишрэлгүй хандах оюун санааны хандлага
01206849-v	mon:lemma	хүрэх
01206849-v	mon:lemma	хөдөлгөх
01206849-v	mon:lemma	хөндөх
13803431-n	mon:lemma	үйлдэгдэх хэв
06208021-n	mon:lemma	чиг баримжаа
06208021-n	mon:def 0	итгэл үнэмшил болон зан хандлагын нэгдсэн байдал
00053609-n	mon:lemma	алга болох
06208265-n	mon:lemma	долгионы урт
13804085-n	mon:lemma	хувирах
01207149-v	mon:lemma	хавч
01207149-v	mon:lemma	хавчигд
01207688-v	mon:lemma	үл биелүүлэх
01207688-v	mon:lemma	зөрчих
00054652-n	mon:lemma	ухралт
06208751-n	mon:lemma	байр суурь
06208751-n	mon:lemma	санаа
06208751-n	mon:lemma	бодол
01207817-v	mon:lemma	дайрах
01207817-v	mon:lemma	халдах
01207817-v	mon:lemma	довтлох
06209101-n	mon:lemma	өндрөөс харагдах бараа
06209940-n	mon:lemma	байгалийн зураг
06209940-n	mon:lemma	уул ус
06209940-n	mon:lemma	байгаль
00055633-n	mon:lemma	огцролт
00055633-n	mon:lemma	цэргээс оргох
06210171-n	mon:lemma	ухагдахууны систем
13805734-n	mon:lemma	бүрэн бус өнгөрсөн нөхцөл
01209135-v	mon:lemma	мөргө
01209135-v	mon:lemma	цохь
00056087-n	mon:lemma	цагаачлал
13806140-n	mon:lemma	үйл үгийн төгс цаг
01209426-v	mon:lemma	мөргө
01209426-v	mon:lemma	цохь
13806614-n	mon:lemma	өнгөрсөн цаг
06211078-n	mon:lemma	өнцөг
06211078-n	mon:lemma	тал
01210152-v	mon:lemma	тэмтэр
06211206-n	mon:lemma	зүс царай
06211206-n	mon:lemma	өнгө зүс
13806404-n	mon:lemma	төгс өнгөрсөн цаг
00056912-n	mon:lemma	ухралт
06211389-n	mon:lemma	ертөнцийг үзэх үзэл
00057162-n	mon:lemma	огцролт
00057162-n	mon:def 0	цэргийн үйл ажиллагааны түр зогсолт
13806735-n	mon:lemma	төгс өнгөрсөн цаг
01210352-v	mon:lemma	тэмтэр
13807178-n	mon:lemma	төгс ирээдүй цаг
01210737-v	mon:lemma	гар хүр
01210737-v	mon:lemma	барь
00057657-n	mon:lemma	хөлөг онгоц хөдлөх цаг
13807636-n	mon:lemma	утгын холбоо
13807636-n	mon:def 0	утга хоорондын харилцаа
00058337-n	mon:lemma	суух
00058608-n	mon:lemma	оргох
00058608-n	mon:lemma	гэрлэхээр оргох
01212230-v	mon:lemma	гар
00058743-n	mon:lemma	зугтах
13809769-n	mon:lemma	суурь
13809769-n	mon:lemma	үндсэн
13809769-n	mon:def 0	ямар нэг зүйлийг хамгийн чухал, шаардлагатай хэсэг
00059127-n	mon:lemma	зугтах
00059127-n	mon:lemma	зайлсхийх
00059127-n	mon:lemma	зайлах
00059127-n	mon:lemma	нүүр буруулах
13808981-n	mon:lemma	ижил нэр
00059552-n	mon:lemma	бэлтгэл ажил
13810141-n	mon:lemma	хамгийн тааламжтай байдал
13810141-n	mon:lemma	сайхан байдал
13809920-n	mon:lemma	дотно
13809920-n	mon:lemma	тоочих
13809920-n	mon:lemma	бүлэг
13810615-n	mon:lemma	гишүүн
13810615-n	mon:def 0	багц буюу ангид хамаарах зүйл
00059989-n	mon:lemma	шоронгоос орголт
13810323-n	mon:lemma	хэмжих нэгж
13811184-n	mon:lemma	үлдэгдэл
01213998-v	mon:lemma	хүчээр улааж ав
13810818-n	mon:lemma	үлдсэн
13810818-n	mon:lemma	илүү
13810818-n	mon:lemma	үлдсэн бараа
13810818-n	mon:lemma	үлдэгдэл
13810818-n	mon:lemma	үлдсэн зүйл
00060414-n	mon:lemma	бөөнөөрөө явж одох
13811410-n	mon:lemma	төрөл
13811410-n	mon:lemma	хамаатан садан
13811410-n	mon:def 0	Зан араншин болон байгалийн нийтлэг зүйлс сонирхлоороо ойрхон нийгмийн бүлэг
13811900-n	mon:lemma	харилцан ойлголцол
13811900-n	mon:def 0	хүмүүс хоорондын эв хоорондын харилцаа
06216160-n	mon:lemma	консерватизм
06216160-n	mon:lemma	хуучныг баримтлах үзэл
13811740-n	mon:lemma	цуурай
13811740-n	mon:lemma	харилцаа
13811740-n	mon:def 0	ард түмний хоорондын харилцан ойлголцол, итгэлцэл болон гэрээний харилцаа
06216634-n	mon:lemma	хувирал
06216634-n	mon:lemma	реакц
06216634-n	mon:lemma	хариу үйлдэл
06216634-n	mon:lemma	урвал
13812296-n	mon:lemma	удмын шинж төрх харилцаа
13812296-n	mon:lemma	ойр дотно байдал
01215137-v	mon:lemma	баривчлах
06216948-n	mon:lemma	үндсэн хуульт ёс
13813042-n	mon:lemma	.
13813042-n	mon:lemma	ураг төрлийн харьцаа
13813042-n	mon:lemma	уг гарал
13813042-n	mon:lemma	үүсэл
13812607-n	mon:lemma	гэр бүлийн харилцаа
13812607-n	mon:def 0	Цус болон гэрлэлтээр баталгааждаг харилцаа
06217103-n	mon:lemma	ардчилал
06217103-n	mon:lemma	ардчилсан үзэл
00061917-n	mon:lemma	хэрэгжүүлэлт
00061917-n	mon:lemma	биежилт
01215421-v	mon:lemma	мэдэр
01215421-v	mon:lemma	ойлго
01216004-v	mon:lemma	тас атгах
01216004-v	mon:lemma	атгах
01216004-v	mon:lemma	зуурах
01216004-v	mon:lemma	базаж авах
00062133-n	mon:lemma	дур тавих
13813283-n	mon:lemma	төстэй байдал
13813283-n	mon:def 0	гэр бүл эсвэлөөр ураг төрлийг  батлах
00062451-n	mon:lemma	гүйцэтгэл
13813765-n	mon:lemma	гарал
13813765-n	mon:lemma	төрөлт
13813765-n	mon:def 0	үр удам нь ураг төрлийн холбоо
06217806-n	mon:lemma	туйлшрах үзэл
06217944-n	mon:lemma	фашизм
06217944-n	mon:lemma	фашист дэглэм
13814041-n	mon:lemma	эх болох
13814041-n	mon:lemma	эх хүн болох үе
13813898-n	mon:lemma	эцэг болох
13813898-n	mon:lemma	эцэг байх
01216522-v	mon:lemma	зуур
01216522-v	mon:lemma	барь
06218308-n	mon:lemma	түрэмгийлэх үзэл
01217043-v	mon:lemma	хадгалах
01217043-v	mon:lemma	тэсэх
01217043-v	mon:lemma	хадгалуулах
01217043-v	mon:lemma	тэсвэрлүүлэх
